city,country,region
Gothenburg,Sweden,Europe
Cardiff,United Kingdom,Europe
Paris,France,Europe
Basel,Switzerland,Europe
Aberdeen,United Kingdom,Europe
Rotterdam,Netherlands,Europe
Pittsburgh,United States,North America
Aachen,Germany,Europe
Santiago,Chile,Latin America
Jerusalem,Israel,Asia
Hamilton,Canada,North America
Atlanta,United States,North America
Hsinchu City,Taiwan,Asia
Waterloo,Canada,North America
Bangalore,India,Asia
Louvain-la-Neuve,Belgium,Europe
Vienna,Austria,Europe
Irvine,United States,North America
Liverpool,United Kingdom,Europe
Hanover,United States,North America
Bath,United Kingdom,Europe
Barcelona,Spain,Europe
Galveston,United States,North America
East Lansing,United States,North America
Freiburg im Breisgau,Germany,Europe
Berlin,Germany,Europe
Exeter,United Kingdom,Europe
Saint-Aubin,France,Europe
Tübingen,Germany,Europe
Newcastle upon Tyne,United Kingdom,Europe
Dunedin,New Zealand,Oceania
Boulder,United States,North America
Seoul,South Korea,Asia
Charlottesville,United States,North America
Maastricht,Netherlands,Europe
Hsinchu City,Taiwan,Asia
Reading,United Kingdom,Europe
Dublin,Ireland,Europe
Göttingen,Germany,Europe
Lyon,France,Europe
Bergen,Norway,Europe
Enschede,Netherlands,Europe
Bern,Switzerland,Europe
Brussels,Belgium,Europe
Milan,Italy,Europe
Vienna,Austria,Europe
Gainesville,United States,North America
Rochester,United States,North America
New Delhi,India,Asia
Chicago,United States,North America
Brighton,United Kingdom,Europe
Dhahran,Saudi Arabia,Asia
Nijmegen,Netherlands,Europe
Campinas,Brazil,Latin America
Cape Town,South Africa,Africa
Haymarket,Australia,Oceania
Stockholm,Sweden,Europe
Calgary,Canada,North America
London,Canada,North America
Amsterdam,Netherlands,Europe
Santiago,Chile,Latin America
Tokyo,Japan,Asia
Cleveland,United States,North America
Barcelona,Spain,Europe
Nashville,United States,North America
Notre Dame,United States,North America
Grenoble,France,Europe
Monterrey,Mexico,Latin America
Bologna,Italy,Europe
Antwerp,Belgium,Europe
Madrid,Spain,Europe
Dresden,Germany,Europe
Tel Aviv,Israel,Asia
Haifa,Israel,Asia
Christchurch,New Zealand,Oceania
Washington D.C.,United States,North America
Tokyo,Japan,Asia
Brussels,Belgium,Europe
Wollongong,Australia,Oceania
Mumbai,India,Asia
Paris,France,Europe
Paris,France,Europe
Phoenix,United States,North America
Rome,Italy,Europe
Kingston,Canada,North America
Tsukuba City,Japan,Asia
Burnaby,Canada,North America
Riyadh,Saudi Arabia,Asia
Paris,France,Europe
"Kelburn, Wellington",New Zealand,Oceania
Beirut ,Lebanon,Asia
Bonn,Germany,Europe
Hamburg,Germany,Europe
Tucson,United States,North America
Turku,Finland,Europe
Egham,United Kingdom,Europe
Almaty,Kazakhstan,Asia
Loughborough,United Kingdom,Europe
Medford,United States,North America
Madrid,Spain,Europe
Leicester,United Kingdom,Europe
Tainan City,Taiwan,Asia
Taipei City,Taiwan,Asia
Dundee,United Kingdom,Europe
Callaghan,Australia,Oceania
Pamplona,Spain,Europe
Sydney,Australia,Oceania
Darmstadt,Germany,Europe
Chennai,India,Asia
Galway,Ireland,Europe
Amherst,United States,North America
Bangkok,Thailand,Asia
Melbourne,Australia,Oceania
London,United Kingdom,Europe
Norwich,United Kingdom,Europe
Miami,United States,North America
Beijing,China (Mainland),Asia
Saint Petersburg,Russia,Europe
Trondheim,Norway,Europe
Strasbourg,France,Europe
Guildford,United Kingdom,Europe
Paris,France,Europe
Stuttgart,Germany,Europe
Frankfurt,Germany,Europe
Gothenburg,Sweden,Europe
Cachan,France,Europe
Paris,France,Europe
Bogotá,Colombia,Latin America
Seri Kembangan,Malaysia,Asia
Riverside,United States,North America
Bogotá,Colombia,Latin America
Erlangen,Germany,Europe
Glasgow,United Kingdom,Europe
Wuhan,China (Mainland),Asia
Brisbane,Australia,Oceania
Raleigh,United States,North America
Harbin,China (Mainland),Asia
Hong Kong,Hong Kong SAR,Asia
Madrid,Spain,Europe
London,United Kingdom,Europe
Linköping,Sweden,Europe
Nakhon Pathom,Thailand,Asia
Barcelona,Spain,Europe
Cork,Ireland,Europe
Jeddah,Saudi Arabia,Asia
Halifax,Canada,North America
Magill,Australia,Oceania
Skudai,Malaysia,Asia
St. Gallen,Switzerland,Europe
Bloomington,United States,North America
Ottawa,Canada,North America
Novosibirsk ,Russia,Europe
Münster,Germany,Europe
Umeå,Sweden,Europe
Santa Cruz,United States,North America
Guangzhou,China (Mainland),Asia
Higashihiroshima City,Japan,Asia
Innsbruck,Austria,Europe
Newton,United States,North America
New Brunswick,United States,North America
Prague,Czech Republic,Europe
Bangi,Malaysia,Asia
Kanpur,India,Asia
Turin,Italy,Europe
Perth,Australia,Oceania
Moscow,Russia,Europe
Pilar,Argentina,Latin America
Taipei City,Taiwan,Asia
Taipei City,Taiwan,Asia
Buenos Aires,Argentina,Latin America
Troy,United States,North America
Kharagpur,India,Asia
London,United Kingdom,Europe
Tianjin,China (Mainland),Asia
Shanghai,China (Mainland),Asia
Arlon,Belgium,Europe
Xi'an,China (Mainland),Asia
Tampere,Finland,Europe
Be'er Sheva,Israel,Asia
Rio de Janeiro,Brazil,Latin America
Barcelona,Spain,Europe
Porto,Portugal,Europe
Hamilton ,New Zealand,Oceania
Depok,Indonesia,Asia
Victoria,Canada,North America
Montpellier,France,Europe
Edinburgh,United Kingdom,Europe
Tokyo,Japan,Asia
Lisbon ,Portugal,Europe
Gelugor,Malaysia,Asia
Tilburg,Netherlands,Europe
Colchester,United Kingdom,Europe
New York City,United States,North America
Seoul,South Korea,Asia
Nathan,Australia,Oceania
Gwangju,South Korea,Asia
Padua,Italy,Europe
Jyväskylä,Finland,Europe
Palmerston North,New Zealand,Oceania
Townsville,Australia,Oceania
Buffalo,United States,North America
Lincoln,New Zealand,Oceania
Honolulu,United States,North America
Nur-Sultan,Kazakhstan,Asia
Cologne,Germany,Europe
Tartu,Estonia,Europe
Ulm,Germany,Europe
Dolgoprudny,Russia,Europe
Moscow,Russia,Europe
Konstanz,Germany,Europe
Buenos Aires,Argentina,Latin America
Minsk,Belarus,Europe
Geelong,Australia,Oceania
Paris,France,Europe
Birmingham,United Kingdom,Europe
Johannesburg,South Africa,Africa
Blacksburg,United States,North America
Boston,United States,North America
Ashburn,United States,North America
Jena,Germany,Europe
Cairo,Egypt,Africa
Warsaw,Poland,Europe
Lisbon,Portugal,Europe
Paris,United Kingdom,Europe
Kobe City,Japan,Asia
Milan,Italy,Europe
Hobart,Australia,Oceania
Québec,Canada,North America
Lawrence,United States,North America
Quezon City,Philippines,Asia
Aalborg,Denmark,Europe
Denver,United States,North America
Paris ,France,Europe
Tomsk,Russia,Europe
Tromsø,Norway,Europe
Dublin,Ireland,Europe
Richardson,United States,North America
Kuopio,Finland,Europe
Kharkiv,Ukraine,Europe
Washington D.C.,United States,North America
Stirling,United Kingdom,Europe
Fort Collins,United States,North America
Seoul,South Korea,Asia
Melbourne,Australia,Oceania
Beijing,China (Mainland),Asia
Stony Brook,United States,North America
Swansea,United Kingdom,Europe
Odense,Denmark,Europe
Iowa City,United States,North America
Doha,Qatar,Asia
Stellenbosch,South Africa,Africa
Pullman,United States,North America
Kaohsiung City,Taiwan,Asia
Athens,Greece,Europe
Roorkee,India,Asia
Hanover,Germany,Europe
Bandung,Indonesia,Asia
Waltham,United States,North America
Chicago,United States,North America
Mainz,Germany,Europe
Abu Dhabi,United Arab Emirates,Asia
Moscow,Russia,Europe
Taipei City,Taiwan,Asia
Bogotá,Colombia,Latin America
Winston-Salem,United States,North America
Marseille,France,Europe
Ankara,Turkey,Asia
Seoul,South Korea,Asia
Almaty,Kazakhstan,Asia
Taoyuan City,Taiwan,Asia
Moscow,Russia,Europe
St. Petersburg,Russia,Europe
Al Ain,United Arab Emirates,Asia
Mannheim,Germany,Europe
Newark,United States,North America
Oulu,Finland,Europe
Salt Lake City,United States,North America
Beijing,China (Mainland),Asia
Würzburg,Germany,Europe
Ames,United States,North America
Kiel,Germany,Europe
London,United Kingdom,Europe
Lyon,France,Europe
Storrs,United States,North America
Pisa,Italy,Europe
Bogotá,Colombia,Latin America
Krakow,Poland,Europe
Tallahassee,United States,North America
Kyiv,Ukraine,Europe
Athens,United States,North America
Beijing,China (Mainland),Asia
Seoul,South Korea,Asia
Tehran,"Iran, Islamic Republic of",Asia
València,Spain,Europe
Bremen,Germany,Europe
Wuhan,China (Mainland),Asia
Trento,Italy,Europe
Sharjah,United Arab Emirates,Asia
Auckland,New Zealand,Oceania
Taoyuan City,Taiwan,Asia
Seoul,South Korea,Asia
Istanbul,Turkey,Asia
Melbourne,Australia,Oceania
Buenos Aires,Argentina,Latin America
Baltimore,United States,North America
Florence,Italy,Europe
Coimbra,Portugal,Europe
Shanghai,China (Mainland),Asia
Busan,South Korea,Asia
Toronto,Canada,North America
Bochum,Germany,Europe
Xiamen,China (Mainland),Asia
Istanbul,Turkey,Asia
Corvallis,United States,North America
Muscat,Oman,Asia
Porto Alegre,Brazil,Latin America
Toulouse,France,Europe
Graz,Austria,Europe
Manama,Bahrain,Asia
Gold Coast,Australia,Oceania
Montreal,Canada,North America
Albuquerque,United States,North America
Norman,United States,North America
Knoxville,United States,North America
Detroit,United States,North America
Santiago,Chile,Latin America
San Jose,Costa Rica,Latin America
Ankara,Turkey,Asia
Istanbul,Turkey,Asia
Worcester,United States,North America
Lappeenranta ,Finland,Europe
Shanghai,China (Mainland),Asia
Braunschweig,Germany,Europe
Tokyo,Japan,Asia
Saskatoon,Canada,North America
Lima,Peru,Latin America
Rome,Italy,Europe
Naples,Italy,Europe
Kunitachi City,Japan,Asia
Dalian,China (Mainland),Asia
Guwahati,India,Asia
Bethlehem,United States,North America
Nankai,China (Mainland),Asia
Huesca,Spain,Europe
Vilnius,Lithuania,Europe
Thessaloniki,Greece,Europe
Milan,Italy,Europe
Aberystwyth,United Kingdom,Europe
Tehran,"Iran, Islamic Republic of",Asia
Changchun,China (Mainland),Asia
Gyeonggi,South Korea,Asia
Beirut,Lebanon,Asia
Lincoln,United States,North America
Tampa,United States,North America
Yokohama City,Japan,Asia
Yogyakarta,Indonesia,Asia
New Delhi,India,Asia
New York City,United States,North America
Talence,France,Europe
Rio de Janeiro,Brazil,Latin America
Granada,Spain,Europe
Québec,Canada,North America
Leipzig,Germany,Europe
Villeurbanne,France,Europe
Quezon City,Philippines,Asia
SÃ£o Paulo,Brazil,Latin America
Turku,Finland,Europe
Tehran,"Iran, Islamic Republic of",Asia
Jeonju,South Korea,Asia
Prague,Czech Republic,Europe
Philadelphia,United States,North America
Buenos Aires,Argentina,Latin America
Almaty,Kazakhstan,Asia
Kazan,Russia,Europe
Abha,Saudi Arabia,Asia
Kingston upon Thames,United Kingdom,Europe
Halle,Germany,Europe
Houghton,United States,North America
Rolla,United States,North America
Murdoch,Australia,Oceania
Nagasaki City,Japan,Asia
Taichung City,Taiwan,Asia
Islamabad,Pakistan,Asia
Okayama City,Japan,Asia
São Paulo,Brazil,Latin America
Seoul,South Korea,Asia
Jinan,China (Mainland),Asia
Nanjing,China (Mainland),Asia
New Orleans,United States,North America
Makkah,Saudi Arabia,Asia
Buenos Aires,Argentina,Latin America
São Paulo,Brazil,Latin America
Bayreuth,Germany,Europe
Saarbrücken,Germany,Europe
Regensburg,Germany,Europe
Guelph,Canada,North America
Lexington,United States,North America
Limerick,Ireland,Europe
Winnipeg,Canada,North America
Mons,Belgium,Europe
Szeged,Hungary,Europe
Tampere,Finland,Europe
La Plata,Argentina,Latin America
Chiang Mai,Thailand,Asia
Belo Horizonte,Brazil,Latin America
Giza,Egypt,Africa
València,Spain,Europe
Pretoria,South Africa,Africa
Turin,Italy,Europe
Santiago de Compostela,Spain,Europe
Dubai,United Arab Emirates,Asia
Ottawa,Canada,North America
Casuarina,Australia,Oceania
Chiba City,Japan,Asia
Williamsburg,United States,North America
Shanghai,China (Mainland),Asia
Vladivostok,Russia,Europe
Adelaide,Australia,Oceania
Washington D.C.,United States,North America
Incheon,South Korea,Asia
Linz,Austria,Europe
Kagoshima City,Japan,Asia
Kanazawa,Japan,Asia
Keele,United Kingdom,Europe
Kumamoto City,Japan,Asia
Lanzhou,China (Mainland),Asia
Saratov,Russia,Europe
Taipei City,Taiwan,Asia
Kyiv,Ukraine,Europe
Marburg,Germany,Europe
Madrid,Spain,Europe
Grahamstown,South Africa,Africa
Chengdu,China (Mainland),Asia
Guangzhou,China (Mainland),Asia
Rostov-on-Don,Russia,Europe
Syracuse,United States,North America
Dortmund,Germany,Europe
Tokyo,Japan,Asia
Pavia,Italy,Europe
Bradford,United Kingdom,Europe
Bruce,Australia,Oceania
Cincinnati,United States,North America
Hull,United Kingdom,Europe
Amman,Jordan,Asia
Boston,United States,North America
Columbia,United States,North America
Eugene,United States,North America
Beijing,China (Mainland),Asia
Columbia,United States,North America
Tehran,"Iran, Islamic Republic of",Asia
Ulsan,South Korea,Asia
Burlington,United States,North America
Milperra,Australia,Oceania
Medellin,Colombia,Latin America
Córdoba,Argentina,Latin America
Seville,Spain,Europe
Guayana City,Venezuela,Latin America
Valparaíso,Chile,Latin America
Brasília,Brazil,Latin America
Concepción,Chile,Latin America
Bangkok,Thailand,Asia
Bielefeld,Germany,Europe
Suwon,South Korea,Asia
Ramat Gan,Israel,Asia
Norman Gardens,Australia,Oceania
Gwangju,South Korea,Asia
Potsdam,United States,North America
Budapest,Hungary,Europe
Chuncheon,South Korea,Asia
Mexico City,Mexico,Latin America
Kuala Lumpur,Malaysia,Asia
Hong Kong,Hong Kong SAR,Asia
Shymkent,Kazakhstan,Asia
Brno,Czech Republic,Europe
London,United Kingdom,Europe
Moscow,Russia,Europe
New York,United States,North America
Moscow,Russia,Europe
Tallinn,Estonia,Europe
Alcalá de Henares,Spain,Europe
Montevideo,Uruguay,Latin America
Buenos Aires,Argentina,Latin America
Duisburg,Germany,Europe
Düsseldorf,Germany,Europe
Rennes,France,Europe
Sherbrooke,Canada,North America
Nice,France,Europe
Seri Iskandar,Malaysia,Asia
Tuscaloosa,United States,North America
Baghdad,Iraq,Asia
Houston,United States,North America
Johannesburg,South Africa,Africa
Ljubljana,Slovenia,Europe
Oxford,United States,North America
Durham,United States,North America
Portsmouth,United Kingdom,Europe
Seoul,South Korea,Asia
Coleraine,United Kingdom,Europe
Ekaterinburg,Russia,Europe
Warsaw,Poland,Europe
Worcester,United States,North America
Riyadh,Saudi Arabia,Asia
Beijing,China (Mainland),Asia
Provo,United States,North America
Brno,Czech Republic,Europe
Bratislava,Slovakia,Europe
Coventry,United Kingdom,Europe
Dublin,Ireland,Europe
Fairfax,United States,North America
Gifu City,Japan,Asia
Maslak-Istanbul,Turkey,Asia
Irbid,Jordan,Asia
Giessen,Germany,Europe
Almaty,Kazakhstan,Asia
Daegu,South Korea,Asia
Byblos,Lebanon,Asia
London,United Kingdom,Europe
Baton Rouge,United States,North America
Maynooth,Ireland,Europe
St. John's,Canada,North America
Athens,Greece,Europe
Osaka City,Japan,Asia
Osaka City,Japan,Asia
Newark,United States,North America
Sofia,Bulgaria,Europe
Hoboken,United States,North America
Philadelphia,United States,North America
Santiago,Chile,Latin America
Huixquilucan,Mexico,Latin America
Caracas,Venezuela,Latin America
Bogotá,Colombia,Latin America
Salamanca,Spain,Europe
Mexico City,Mexico,Latin America
São Paulo,Brazil,Latin America
Modena,Italy,Europe
Rostock,Germany,Europe
Albany,United States,North America
Kolkata,India,Asia
Heraklion,Greece,Europe
Debrecen,Hungary,Europe
Denver,United States,North America
Haifa,Israel,Asia
Pinetown,South Africa,Africa
Riga,Latvia,Europe
Milan,Italy,Europe
Patras,Greece,Europe
Plymouth,United Kingdom,Europe
Sharjah,United Arab Emirates,Asia
Windsor,Canada,North America
Zagreb,Croatia,Europe
Melbourne,Australia,Oceania
Richmond,United States,North America
Gyeongsan,South Korea,Asia
Bangkok,Thailand,Asia
Rosario,Argentina,Latin America
Abu Dhabi,United Arab Emirates,Asia
Cairo,Egypt,Africa
Surabaya,Indonesia,Asia
Cairo,Egypt,Africa
Alexandria,Egypt,Africa
Iași,Romania,Europe
Klagenfurt,Austria,Europe
Ankara,Turkey,Asia
Tokyo,Japan,Asia
Athens,Greece,Europe
Auburn,United States,North America
Melbourne,Australia,Oceania
Cluj-Napoca,Romania,Europe
Baku,Azerbaijan,Asia
Varanasi,India,Asia
Waco,United States,North America
Beijing,China (Mainland),Asia
Minsk,Belarus,Europe
Puebla,Mexico,Latin America
Binghamton,United States,North America
Bogor,Indonesia,Asia
Budapest,Hungary,Europe
Thurgoona,Australia,Oceania
Daejeon,South Korea,Asia
Clemson,United States,North America
Budapest,Hungary,Europe
Adana,Turkey,Asia
Seoul,South Korea,Asia
Manila,Philippines,Asia
Semarang,Indonesia,Asia
Vinnytsia,Ukraine,Europe
Kyoto,Japan,Asia
Karaganda,Kazakhstan,Asia
Joondalup,Australia,Oceania
New York City,United States,North America
New Taipei City,Taiwan,Asia
Ankara,Turkey,Asia
Atlanta,United States,North America
Maebashi,Japan,Asia
Ankara,Turkey,Asia
Ciudad de México,Mexico,Latin America
Istanbul,Turkey,Asia
Manhattan,United States,North America
Kaunas,Lithuania,Europe
Almaty,Kazakhstan,Asia
Kent,United States,North America
Baku,Azerbaijan,Asia
Khon Kaen,Thailand,Asia
Hofuf,Saudi Arabia,Asia
Bangkok,Thailand,Asia
Seoul,South Korea,Asia
Kuwait City,Kuwait,Asia
Lahore,Pakistan,Asia
Nizhny Novgorod,Russia,Europe
Lodz,Poland,Europe
Chicago,United States,North America
Kampala,Uganda,Africa
Manchester ,United Kingdom,Europe
Milwaukee,United States,North America
Oxford,United States,North America
Taipei City,Taiwan,Asia
Kharkiv,Ukraine,Europe
Newark,United States,North America
Toruń,Poland,Europe
Niigata City,Japan,Asia
Newcastle upon Tyne,United Kingdom,Europe
Potchefstroom,South Africa,Africa
Nottingham,United Kingdom,Europe
Novosibirsk,Russia,Europe
Tokyo,Japan,Asia
Athens,United States,North America
Stillwater,United States,North America
Chandigarh,India,Asia
Salzburg ,Austria,Europe
Moscow,Russia,Europe
Quito,Ecuador,Latin America
Porto Alegre,Brazil,Latin America
Hat Yai,Thailand,Asia
Baku,Azerbaijan,Asia
Islamabad,Pakistan,Asia
Kyoto,Japan,Asia
Toronto,Canada,North America
Saitama City,Japan,Asia
San Diego ,United States,North America
Seoul,South Korea,Asia
Surabaya,Indonesia,Asia
Tehran,"Iran, Islamic Republic of",Asia
Matsumoto City,Japan,Asia
Northampton,United States,North America
Dallas,United States,North America
Sumy,Ukraine,Europe
Aberdeen,United Kingdom,Europe
Hiratsuka City,Japan,Asia
Kagurazaka,Japan,Asia
Valdivia,Chile,Latin America
San Nicolás de los Garza,Mexico,Latin America
Toluca de Lerdo,Mexico,Latin America
Mexico City,Mexico,Latin America
Ciudad Real,Spain,Europe
Guadalajara,Mexico,Latin America
Havana,Cuba,Latin America
Montevideo,Uruguay,Latin America
Cholula,Mexico,Latin America
Merida,Venezuela,Latin America
San Pedro Garza García,Mexico,Latin America
Murcia,Spain,Europe
San Juan,Puerto Rico,Latin America
Quito,Ecuador,Latin America
Talca,Chile,Latin America
Valparaíso,Chile,Latin America
Barranquilla,Colombia,Latin America
Bogotá,Colombia,Latin America
Cali,Colombia,Latin America
Santiago,Chile,Latin America
Bucaramanga,Colombia,Latin America
San José,Costa Rica,Latin America
Caracas,Venezuela,Latin America
Heredia,Costa Rica,Latin America
Mendoza,Argentina,Latin America
Mar del Plata,Argentina,Latin America
San Miguel de Tucumán,Argentina,Latin America
Bahia Blanca,Argentina,Latin America
Lima,Peru,Latin America
Mexico City,Mexico,Latin America
San Martin,Peru,Latin America
Madrid,Spain,Europe
Caracas,Venezuela,Latin America
Valparaíso,Chile,Latin America
Buenos Aires,Argentina,Latin America
Lisbon,Portugal,Europe
A Coruña,Spain,Europe
Rio de Janeiro,Brazil,Latin America
Londrina,Brazil,Latin America
Salvador,Brazil,Latin America
Florianópolis,Brazil,Latin America
Frederico Westphalen,Brazil,Latin America
Viçosa,Brazil,Latin America
Fortaleza,Brazil,Latin America
Curitiba,Brazil,Latin America
Recife,Brazil,Latin America
Rio de Janeiro,Brazil,Latin America
Venice,Italy,Europe
Catania,Italy,Europe
Ferrara,Italy,Europe
Genoa,Italy,Europe
Perugia,Italy,Europe
Siena,Italy,Europe
Trieste,Italy,Europe
Rome,Italy,Europe
Palermo,Italy,Europe
Surakarta,Indonesia,Asia
Caen,France,Europe
Cergy,France,Europe
Nancy,France,Europe
Nantes,France,Europe
Poitiers,France,Europe
Lyon,France,Europe
Lille,France,Europe
Lyon,France,Europe
Paris,France,Europe
Montpellier,France,Europe
Toulouse,France,Europe
Shah Alam,Malaysia,Asia
Sintok,Malaysia,Asia
Zallaq,Bahrain,Asia
Bari,Italy,Europe
Belgrade,Serbia,Europe
Malang ,Indonesia,Asia
Brescia,Italy,Europe
Bucharest,Romania,Europe
Orlando,United States,North America
Preston,United Kingdom,Europe
Horana,Sri Lanka,Asia
Dhaka,Bangladesh,Asia
London,United Kingdom,Europe
Lahore,Pakistan,Asia
Legon,Ghana,Africa
Hatfield,United Kingdom,Europe
Huddersfield,United Kingdom,Europe
Karachi,Pakistan,Asia
Kufa,Iraq,Asia
Lahore,Pakistan,Asia
Maribor,Slovenia,Europe
Missoula ,United States,North America
Mumbai,India,Asia
Nairobi,Kenya,Africa
Armidale,Australia,Oceania
Pécs,Hungary,Europe
Pune,India,Asia
Salford,United Kingdom,Europe
San Diego,United States,North America
San Francisco,United States,North America
Manila,Philippines,Asia
Toowoomba,Australia,Oceania
Stockton,United States,North America
Cape Town,South Africa,Africa
Tulsa,United States,North America
Wroclaw,Poland,Europe
Laramie,United States,North America
Toulouse,France,Europe
Logan,United States,North America
Verona,Italy,Europe
Vilnius ,Lithuania,Europe
Voronezh ,Russia,Europe
Kaunas,Lithuania,Europe
Timișoara,Romania,Europe
Yamaguchi City,Japan,Asia
Yokohama City,Japan,Asia
San Francisco,United States,North America
Stockholm,Sweden,Europe
New Delhi,India,Asia
Fontainebleau,France,Europe
London,United Kingdom,Europe
Rehovot,Israel,Asia
Houston,United States,North America
Oslo,Norway,Europe
Frederiksberg,Denmark,Europe
Bedford,United Kingdom,Europe
Cergy,France,Europe
Wiesbaden,Germany,Europe
Paris,France,Europe
Thuwal,Saudi Arabia,Asia
Milan,Italy,Europe
Compiègne,France,Europe
Prague,Czech Republic,Europe
Vallendar,Germany,Europe
Cambridge,United States,North America
Stanford,United States,North America
Cambridge,United States,North America
Pasadena,United States,North America
Cambridge,United Kingdom,Europe
Oxford,United Kingdom,Europe
London,United Kingdom,Europe
London,United Kingdom,Europe
Chicago,United States,North America
Zürich,Switzerland,Europe
Singapore,Singapore,Asia
Lausanne,Switzerland,Europe
Princeton,United States,North America
Ithaca,United States,North America
Singapore,Singapore,Asia
New Haven,United States,North America
Baltimore,United States,North America
New York City,United States,North America
Philadelphia,United States,North America
Canberra,Australia,Oceania
Durham,United States,North America
Ann Arbor,United States,North America
London,United Kingdom,Europe
Edinburgh,United Kingdom,Europe
Beijing,China (Mainland),Asia
Hong Kong,Hong Kong SAR,Asia
Berkeley,United States,North America
Evanston,United States,North America
Tokyo,Japan,Asia
Hong Kong,Hong Kong SAR,Asia
Toronto,Canada,North America
Montreal,Canada,North America
Los Angeles,United States,North America
Manchester,United Kingdom,Europe
London,United Kingdom,Europe
Seoul,South Korea,Asia
Kyoto,Japan,Asia
San Diego,United States,North America
Beijing,China (Mainland),Asia
Shanghai,China (Mainland),Asia
Parkville,Australia,Oceania
Daejeon,South Korea,Asia
Paris,France,Europe
Bristol,United Kingdom,Europe
Sydney,Australia,Oceania
Hong Kong,Hong Kong SAR,Asia
Brisbane,Australia,Oceania
Pittsburgh,United States,North America
Hong Kong,Hong Kong SAR,Asia
Sydney,Australia,Oceania
Vancouver,Canada,North America
New York City,United States,North America
Providence,United States,North America
Delft,Netherlands,Europe
Madison,United States,North America
